name,start,end,info
World War I,1914,1918,"We can see the Allied Powers (France, Britain, Japan, etc) vs. the Central Powers (Germany, Austria-Hungary, etc.) during these years."
Inter-American Conference for the Maintenance of Peace,1936,1936,"Creates a number of entente's between all the countries of America."
World War II,1939,1945,"Take notice of the alliances between the Allies (Soviet Union, China, Britain) and the Axis Powers (Germany, Italy, Japan)."
Inter-American Treaty of Reciprocal Assistance (Rio Pact),1947,1947,"The Rio Pact began a hemispheric defense pact amongst several countries in the Americas as shown here."
NATO,1949,1949,"NATO marks the beginning of a defense alliance between America and multiple European countries, as seen here."
South Asian Treaty Organization,1954,1954,"Created to block Communist gains in Southeast Asia, SEATO included countries such as the United States, France, Great Britain, New Zealand, Australia, the Philippines, Thailand and Pakistan."
Warsaw Treaty Organization,1955,1955,"The Warsaw Pact was a political and military alliance established on May 14, 1955 between the Soviet Union and several Eastern European countries. The Soviet Union formed this alliance as a counterbalance to NATO."
International Agreement on the Neutrality of Laos,1962,1962,"Burma, Cambodia, Canada, the People's Republic of China, the Democratic Republic of Vietnam, France, India, Poland, the Republic of Vietnam, Thailand, the Soviet Union, the United Kingdom, and the United States signed a Declaration which together with the statement of neutrality by the Royal Government of Laos."
ECOMOG of Economic Community of West African States,1981,1981,"ECOMOG was a formal arrangement for a number of separate West African armies to work together."
Iraq War,2003,2011,"Here we can see alliances form between the US, UK, Australia, and Poland against Iraq."

